screen_name,fullname,text,timestamp,following,followers,num_tweets,location,num_likes,id,date_joined,num_days_joined,days_on_twitter
Sharpgrib,ด้อมด้อมMewGulf,สมัยเรียนเพื่อนฝากชั้นทำการบ้านส่งอาจารย์ แล้วอาจารย์อ่านทุกคำ ชั้นทำให้นางเป็นเทอม อาจารย์ไม่เคยจับได้เลยนะแก แต่IOรัฐบาลอะนะ #รัฐบาลเตรียมพร้อม https://twitter.com/fourtofu/status/1228011255509602304 …,2020-02-14 02:56:16,59,36,3240,Thailand,1,454791231,2012-01-04 03:34:00,2975 days 20:26:00.000000000,2975
nettospk,lostmyChocolate,อุบาท น่าอับอายกริยามารยาท การพูดจาแบบนี้อย่าว่าแต่เป็นนายกเลย เป็นอาชีพอะไรก็ไม่ได้อ่ะ ดูแต่ละคลิปคือ มึงเป็นอาร๊ายยย ไม่มีใครสอนมาหรอวะ ทำสันดารเสียจนเคยตัวจนเอาไปใช้ในเวทีแบบนี้ ไม่ต้องพูดถึงภาษานะ แก้ที่สันดารก่อนอันดับแรก!!! #นายกเฮงซวย #นายกโง่ #นายกอุบาท #รัฐบาลเตรียมพร้อม https://twitter.com/NoLungNoKaLa/status/1228061991970885632 …,2020-02-14 02:55:59,578,9,1302,Thailand,2,1098851022322069504,2019-02-21 23:44:00,370 days 00:16:00.000000000,370
palitmylove702,โปรดเรียกชั้นว่าฮานึล ☁️,ถ้าเป็นเรื่องจริง รัฐบาลชุดนี้ควรพิจารณาตัวเองด่วน ทำมาหาแดกบนความเดือนร้อนของประขาชน #รัฐบาลเตรียมพร้อม pic.twitter.com/c3XbSWNcV8,2020-02-14 02:55:50,265,158,119453,รับกดแค่1-2คนค่า,14,881513264659668992,2017-07-02 07:01:00,969 days 16:59:00.000000000,969
Akito_Hasegawa,アキ,"เลือกความชิบหาย ผายมือไปที่เหี้ยตู่
#ยิงกลางกรุง
#รัฐบาลเตรียมพร้อม #รัฐบาลเฮ็งซวยhttps://twitter.com/Thairath_News/status/1228145038380523521 …",2020-02-14 02:55:45,266,80,1198,-1,1,2330406218,2014-02-06 06:52:00,2211 days 17:08:00.000000000,2211
sarinamopaknipa,survivorในปีนี้,มึงคิดว่าคนเขารักมึงนักหนาหรอวะ คนที่รักมึงแม่งมีเที่าเสี้ยวตีนอีสัส #รัฐบาลเตรียมพร้อม pic.twitter.com/12vqZS5zrX,2020-02-14 02:55:44,1251,460,7899,.......,0,4701271400,2016-01-02 23:36:00,1516 days 00:24:00.000000000,1516
wang_koy,nitcha​ Wang​  💏,#รัฐบาลเตรียมพร้อม ลาออก ยุบสภา,2020-02-14 02:55:27,51,17,1163,-1,1,1064855640495902720,2018-11-20 04:19:00,463 days 19:41:00.000000000,463
fxxkuprayut,เจ้าคุณลักกี้,"เตรียมพร้อมอะไร พร้อมยุบเหรอ?
#รัฐบาลเตรียมพร้อม",2020-02-14 02:55:27,40,28,1331,-1,0,1118623111673290752,2019-04-17 14:11:00,315 days 09:49:00.000000000,315
kk46201373,แม่...  ขอตังค์หน่อยค่ะ,"วาเลนไทน์ปี 2020 
กุหลาบ  ไม่เอา  
ขอ... เสื้อเกราะกันกระสุนแทน  #จุฬาซอย10 #ValentinesDay2020 #รัฐบาลเตรียมพร้อม pic.twitter.com/YV2oCvEIbo",2020-02-14 02:55:27,10,6,89,บนโลก,1,990977498279112704,2018-04-30 08:33:00,667 days 15:27:00.000000000,667
ita7_199X,iTa7,พร้อมรัฐประหารอีกรอบ? #รัฐบาลเตรียมพร้อม,2020-02-14 02:55:10,156,132,2956,"กรุงเทพมหานคร, ประเทศไทย",0,2758877372,2014-08-23 06:55:00,2013 days 17:05:00.000000000,2013
Q3mNoXROdHGvqJI,รัดทาบาดรวย,เอ้า ก็ว่าแท็คด่าแต่แรก #รัฐบาลเตรียมพร้อม,2020-02-14 02:55:09,19,1,730,-1,0,1106647204234739712,2019-03-15 13:03:00,348 days 10:57:00.000000000,348
